Season,Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR,playerid
2003,Darren Oliver,Rockies,35,73,1,6,8,0,4.10%,23.30%,0.09,0.327,0.254,0.296,0.343,0.284,53,0,-4.4,7.7,0.6,206
2003,Mike Hampton,Braves,32,74,2,6,8,0,6.80%,17.60%,0.167,0.2,0.183,0.246,0.35,0.261,52,0,-4.6,7.8,0.6,430
2004,Dontrelle Willis,Marlins,42,84,1,5,3,0,4.80%,20.20%,0.095,0.25,0.203,0.244,0.297,0.239,41,0,-6.5,9.3,0.6,1703
2003,Dontrelle Willis,Marlins,27,63,1,2,4,0,4.80%,12.70%,0.086,0.265,0.241,0.279,0.328,0.269,61,0,-3.2,6.7,0.6,1703
2003,Jeff Suppan,- - -,32,55,0,3,2,0,3.60%,21.80%,0.024,0.4,0.286,0.333,0.31,0.293,72,0,-2.1,5.8,0.5,633
2007,Aaron Cook,Rockies,25,60,0,8,1,0,6.70%,23.30%,0.071,0.357,0.238,0.319,0.31,0.29,61,0,-3.1,6.5,0.5,1571
2003,Brian Lawrence,Padres,33,72,1,7,5,0,4.20%,25.00%,0.075,0.292,0.224,0.257,0.299,0.247,49,0,-4.7,7.6,0.5,1045
2008,Jake Peavy,Padres,29,58,0,4,2,0,5.20%,20.70%,0.041,0.342,0.265,0.302,0.306,0.274,68,-0.5,-2.8,6.1,0.5,1051
2006,Jeff Suppan,Cardinals,32,70,0,4,6,0,7.10%,15.70%,0.018,0.273,0.218,0.295,0.236,0.251,46,-0.5,-5.4,8.3,0.5,633
2006,Livan Hernandez,- - -,37,82,1,6,6,0,1.20%,8.50%,0.118,0.217,0.206,0.217,0.324,0.232,33,0,-7.2,9.8,0.5,1116
2007,Yovani Gallardo,Brewers,20,42,2,5,6,0,2.40%,23.80%,0.225,0.286,0.25,0.268,0.475,0.316,87,0,-0.7,4.5,0.5,8173
2000,A.J. Burnett,Marlins,13,30,1,3,3,0,10.00%,33.30%,0.24,0.429,0.28,0.357,0.52,0.375,122,0,0.9,3.5,0.5,512
2004,Carlos Zambrano,Cubs,31,82,1,8,5,0,3.70%,35.40%,0.057,0.366,0.229,0.257,0.286,0.241,36,0,-6.7,9.1,0.5,305
2004,Jason Jennings,Rockies,37,78,1,3,6,0,2.60%,20.50%,0.099,0.296,0.239,0.26,0.338,0.261,39,0,-6.2,8.6,0.5,434
2000,Russ Ortiz,Giants,33,75,0,7,5,0,10.70%,21.30%,0.033,0.267,0.197,0.29,0.23,0.25,43,0,-5.8,8.6,0.5,1124
2003,Randy Wolf,Phillies,33,82,0,9,11,0,6.10%,26.80%,0.086,0.286,0.2,0.25,0.286,0.239,39,0,-6.4,8.7,0.5,976
2001,Russ Ortiz,Giants,33,81,0,6,6,0,6.20%,23.50%,0.09,0.265,0.194,0.247,0.284,0.235,40,0,-6.4,8.8,0.5,1124
2009,Adam Wainwright,Cardinals,40,96,2,7,4,0,1.00%,27.10%,0.146,0.23,0.18,0.189,0.326,0.22,27,0,-8.6,10.4,0.5,2233
2008,Manny Parra,Brewers,32,58,0,2,6,0,3.40%,31.00%,0.132,0.343,0.226,0.255,0.358,0.267,57,0,-3.2,6.1,0.5,4279
2004,Carl Pavano,Marlins,31,79,2,4,6,0,1.30%,30.40%,0.132,0.262,0.191,0.214,0.324,0.232,36,0,-6.5,8.7,0.5,790
2005,Brandon Backe,Astros,28,53,0,5,6,1,5.70%,22.60%,0.133,0.303,0.222,0.271,0.356,0.273,61,0.2,-2.4,5.4,0.5,1529
2008,Jason Marquis,Cubs,39,66,2,8,10,0,4.50%,25.80%,0.153,0.25,0.203,0.242,0.356,0.262,47,0,-4.4,7,0.5,105
2005,Javier Vazquez,Diamondbacks,33,72,1,2,2,0,4.20%,13.90%,0.063,0.269,0.238,0.273,0.302,0.257,45,0,-5,7.3,0.5,801
2007,Tom Glavine,Mets,35,75,0,3,4,0,8.00%,6.70%,0.018,0.231,0.214,0.286,0.232,0.244,41,-0.1,-5.8,8.1,0.5,90
2002,Livan Hernandez,Giants,36,75,0,6,6,0,0.00%,12.00%,0.094,0.268,0.234,0.231,0.328,0.239,43,0,-5.4,7.5,0.5,1116
2005,Mike Hampton,Braves,12,29,1,4,1,0,0.00%,31.00%,0.16,0.467,0.32,0.346,0.48,0.359,119,0,0.7,2.9,0.5,430
